Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount($),Length of current employment(Month),Sex & Marital Status,Duration in Current address,Most valuable available asset,Age (years),Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,3,15,2,4,874,2,2,1,1,24,2,1,3,1,1,1
0,1,18,4,5,1190,1,2,4,4,55,3,3,1,2,1,1
1,3,24,2,3,3235,5,1,2,3,36,2,1,4,1,2,1
1,3,36,2,3,3595,5,3,2,3,28,2,1,3,1,1,1
1,1,15,4,2,1433,3,2,3,2,25,1,2,3,1,1,1
1,3,36,2,3,5848,3,3,1,3,24,2,1,3,1,1,1
1,2,24,4,0,3878,2,1,2,3,37,2,1,3,1,2,1
1,3,12,4,3,2331,5,3,4,1,49,2,1,3,1,2,1
1,2,12,4,1,1860,1,3,2,3,34,2,2,4,1,2,1
1,2,12,4,0,1995,2,3,1,3,27,2,1,3,1,1,1
1,2,12,2,2,983,2,2,4,1,19,1,1,2,1,1,1
0,3,12,4,9,2292,1,3,2,3,42,2,2,4,1,2,1
1,2,12,2,0,1318,5,3,4,1,54,2,1,3,1,2,1
1,3,18,4,3,1582,5,3,4,3,46,2,2,3,1,1,1
1,3,24,4,0,1940,5,3,4,1,60,2,1,3,1,2,1
0,3,12,4,3,797,5,2,3,2,33,2,1,2,2,1,1
1,3,24,2,1,2679,2,2,1,4,29,2,1,4,1,2,1
1,2,27,3,1,5965,5,3,2,3,30,2,2,4,1,2,1
1,2,15,4,9,2326,3,3,4,3,27,2,1,3,1,1,1
0,3,18,2,3,2100,3,3,2,1,37,2,1,3,1,1,1
0,1,24,2,3,2439,2,2,4,1,35,2,1,3,1,2,1
1,3,24,2,1,2603,3,2,4,3,28,1,1,3,1,2,1
1,3,12,2,1,1413,4,3,2,2,55,2,1,3,1,1,2
1,3,24,3,9,2375,3,3,2,3,44,2,2,3,2,2,1
0,1,36,2,0,1842,2,2,4,3,34,2,1,3,1,2,1
0,2,24,2,3,2039,2,4,1,2,22,2,1,3,1,2,1
1,2,18,3,9,2427,5,3,2,2,42,2,2,3,1,1,1
1,3,33,4,1,7253,4,3,2,3,35,2,2,4,1,2,1
0,1,24,3,0,1333,1,3,2,1,43,3,2,3,2,1,1
1,1,27,4,9,2442,5,3,4,3,43,2,4,4,2,2,1
1,1,18,2,3,1936,4,4,4,3,23,1,2,2,1,1,1
1,3,12,2,0,2133,5,2,4,4,52,3,1,4,1,2,1
1,1,6,4,0,860,5,2,4,4,39,2,2,3,1,2,1
1,2,11,2,2,1577,2,2,1,1,20,2,1,3,1,1,1
1,3,15,4,2,3343,3,3,2,4,28,3,1,3,1,2,1
1,3,36,2,0,909,5,3,4,2,36,2,1,3,1,1,1
1,2,30,3,9,2503,5,3,2,2,41,2,2,3,1,1,1
1,3,18,4,3,629,5,3,3,2,32,2,2,4,1,2,1
1,2,12,4,4,1424,4,3,3,2,26,2,1,3,1,1,1
1,3,22,2,3,2675,5,3,4,3,40,2,1,3,1,1,1
1,3,18,2,0,2662,4,3,3,2,32,2,1,3,1,1,2
0,3,21,0,0,5003,3,2,4,2,29,2,2,3,1,2,1
1,2,48,2,3,3979,4,3,1,3,41,2,2,3,2,2,1
1,1,48,2,1,4788,4,3,3,2,26,2,1,3,2,1,1
1,3,24,2,0,3757,5,2,4,4,62,3,1,3,1,2,1
1,2,48,1,0,12169,1,3,4,4,36,3,1,4,1,2,1
1,3,24,2,0,7393,3,3,4,2,43,2,1,2,2,1,1
0,2,36,2,2,9034,2,3,1,4,29,1,1,4,1,2,1
1,3,24,2,3,1413,3,4,2,2,28,2,1,3,1,1,1
1,3,6,4,0,1343,5,3,4,1,46,2,2,3,2,1,2
1,3,24,4,3,5103,2,4,3,4,47,3,3,3,1,2,1
1,3,27,4,2,4526,2,3,2,1,32,2,2,2,2,2,1
1,3,15,4,3,1459,3,2,2,3,43,2,1,2,1,1,1
1,2,6,2,3,2063,2,4,3,3,30,1,1,4,1,2,1
1,1,6,4,2,1872,1,3,4,4,36,3,3,4,1,2,1
1,1,36,2,2,3959,1,3,3,2,30,2,1,4,1,2,1
0,2,36,0,3,3804,3,2,1,3,42,2,1,3,1,2,1
1,3,6,4,0,1323,5,1,4,3,28,2,2,3,2,2,1
1,3,15,2,3,1979,5,3,2,3,35,2,1,3,1,1,1
1,3,6,2,5,660,4,4,4,1,23,1,1,2,1,1,1
0,2,24,2,1,12579,5,2,2,4,44,3,1,4,1,2,1
1,3,6,2,2,2978,3,3,2,3,32,2,1,3,1,2,1
1,3,24,4,3,2684,3,3,2,1,35,2,2,2,1,1,1
0,1,12,2,8,902,4,4,4,2,21,1,1,3,1,1,1
1,1,42,4,5,3394,1,3,4,3,65,2,2,1,1,1,1
1,3,24,4,3,2872,5,3,4,1,36,2,1,3,2,2,1
1,2,27,2,9,2528,2,2,1,2,32,2,1,3,2,2,1
1,1,24,2,1,2812,5,2,4,1,26,1,1,3,1,1,1
0,3,21,3,9,2580,2,3,2,1,41,2,1,2,2,1,1
1,1,8,4,10,1164,5,3,4,4,51,3,2,4,2,2,1
1,3,10,2,6,727,5,3,4,4,46,3,1,3,1,2,1
1,2,36,2,3,2323,4,3,4,3,24,1,1,3,1,1,1
1,3,12,2,3,804,5,3,4,3,38,2,1,3,1,1,1
1,1,24,1,2,2483,3,3,4,1,22,2,1,3,1,2,1
1,3,12,2,0,1884,5,3,4,3,39,2,1,4,1,2,1
0,1,24,2,3,1823,1,3,2,3,30,2,1,4,2,1,1
0,2,12,2,0,836,2,2,2,2,23,2,1,2,1,1,1
1,2,30,2,3,2991,5,2,4,3,25,2,1,3,1,1,1
0,1,48,2,1,10297,4,3,4,4,39,3,3,3,2,2,1
1,3,24,2,3,999,5,3,2,3,25,2,2,3,1,1,1
0,1,15,0,0,950,5,3,3,3,33,1,2,3,2,1,1
1,1,10,4,0,1038,4,3,3,2,49,2,2,3,1,2,1
1,3,30,2,3,1867,5,3,4,3,58,2,1,3,1,2,1
0,1,48,2,0,7763,5,3,4,4,42,3,1,4,1,1,1
1,3,15,4,3,1360,3,3,2,2,31,2,2,3,1,1,1
1,3,36,0,5,2613,3,3,2,3,27,2,2,3,1,1,1
1,3,48,4,6,6110,3,3,3,4,31,3,1,3,1,2,1
1,3,12,4,3,1655,5,3,4,1,63,2,2,2,1,2,1
1,2,18,2,9,2622,3,3,4,3,34,2,1,3,1,1,1
1,2,11,4,0,1322,3,2,4,3,40,2,2,3,1,1,1
1,3,15,2,9,2687,4,3,4,2,26,1,1,3,1,2,1
1,3,33,3,9,2764,3,2,2,3,26,2,2,3,1,2,1
1,3,4,2,2,601,2,2,3,1,23,1,1,2,2,1,1
0,2,18,2,1,12976,1,2,4,4,38,3,1,4,1,2,1
1,1,30,2,1,3857,3,1,4,2,40,2,1,4,1,2,1
1,1,12,4,1,1526,5,3,4,4,66,3,2,4,1,1,1
0,2,21,2,9,2767,5,1,2,3,61,1,2,2,1,1,1
1,1,24,2,2,1747,2,3,1,2,24,2,1,2,1,1,2
1,2,18,2,3,1113,3,2,4,1,26,2,1,2,2,1,1
1,3,18,2,3,1453,2,2,1,1,26,2,1,3,1,1,1
1,1,18,4,3,1880,4,4,1,2,32,2,2,4,1,2,1
0,2,24,2,1,4113,2,2,4,3,28,1,1,3,1,1,1
1,1,14,2,0,3973,1,3,4,4,22,3,1,3,1,1,1
1,3,24,2,3,5152,4,3,2,3,25,2,1,3,1,1,1
0,1,12,1,3,2149,3,1,1,4,29,3,1,3,1,1,1
1,2,24,2,3,1967,5,2,4,3,20,2,1,3,1,2,1
1,1,12,4,1,1409,5,3,3,1,54,2,1,3,1,1,1
1,3,21,3,2,1591,4,3,3,1,34,2,2,4,1,1,1
0,3,18,4,6,1864,3,2,2,1,30,2,2,3,1,1,1
1,2,18,2,6,1239,3,3,4,4,61,3,1,3,1,1,1
1,1,10,4,2,2132,2,2,3,1,27,1,2,3,1,1,2
1,2,24,2,0,1201,2,3,1,2,26,2,1,3,1,1,1
1,2,24,4,9,2825,4,3,3,4,34,2,2,3,2,2,1
1,3,30,4,3,4530,4,2,4,3,26,1,1,4,1,2,1
1,3,24,3,9,2978,3,3,4,1,32,2,2,3,2,2,1
1,3,12,4,3,1934,5,3,2,4,26,2,2,3,1,1,1
1,3,6,4,0,2080,3,4,2,3,24,2,1,3,1,1,1
0,1,6,4,2,3384,3,1,4,1,44,1,1,4,1,2,1
1,3,18,4,3,1800,3,3,2,3,24,2,2,3,1,1,1
1,1,30,4,1,6187,4,4,4,3,24,1,2,3,1,1,1
1,2,30,4,0,2181,5,3,4,1,36,2,2,3,1,1,1
1,1,6,2,2,428,5,2,1,2,49,2,1,3,1,2,1
1,3,24,4,3,2611,5,4,3,1,46,2,2,3,1,1,1
0,2,24,3,2,2064,1,2,2,2,34,2,1,4,1,2,1
1,1,18,0,9,3104,4,3,1,2,31,2,1,3,1,2,1
1,1,24,4,1,2957,5,3,4,2,63,2,2,3,1,2,1
0,1,24,1,9,3161,3,3,2,2,31,1,1,3,1,2,1
0,2,12,2,2,951,2,2,4,3,27,1,4,3,1,1,1
1,3,24,2,3,3181,2,2,4,2,26,2,1,3,1,2,1
1,3,5,2,9,3448,4,3,4,1,74,2,1,2,1,1,1
1,1,12,2,0,3651,3,3,3,2,31,2,1,3,2,1,1
1,1,12,2,6,1200,3,2,4,2,23,1,1,3,1,2,1
1,3,13,2,3,1409,1,2,4,1,64,2,1,3,1,1,1
0,2,39,4,3,4933,4,3,2,1,25,2,2,3,1,1,1
0,2,12,2,3,766,3,3,3,1,66,2,1,2,1,1,1
1,2,48,1,9,3566,4,3,2,3,30,2,1,3,1,1,1
1,3,27,2,5,5190,5,3,4,2,48,2,4,3,2,2,1
1,1,12,4,3,385,4,2,3,1,58,2,4,2,1,2,1
1,1,36,2,1,5493,5,3,4,4,42,3,1,3,2,1,1
1,3,48,4,1,2751,5,3,3,3,38,2,2,3,2,2,1
0,1,30,2,2,3108,2,1,4,2,31,2,1,2,1,1,1
0,3,9,2,2,1980,2,2,2,3,19,1,2,3,1,1,1
1,2,30,1,2,3496,3,3,2,3,34,2,1,3,2,2,1
1,3,12,4,2,1592,4,2,2,2,35,2,1,3,1,1,1
1,3,18,4,1,3850,4,3,1,3,27,2,2,3,1,1,1
0,1,18,2,2,4153,3,3,3,3,42,2,1,3,1,1,1
1,3,12,2,3,707,3,3,2,1,30,2,2,3,1,1,1
1,3,36,2,6,9055,3,3,4,4,35,3,1,2,2,2,1
1,3,12,2,3,3399,5,3,3,3,37,2,1,4,1,1,1
0,1,18,2,2,1131,1,2,2,3,33,2,1,3,1,1,1
0,3,18,2,5,1943,2,2,4,1,23,2,1,3,1,1,1
1,2,18,4,9,3590,1,4,3,3,40,2,3,1,2,2,1
1,3,12,2,3,3059,4,1,4,1,61,2,1,2,1,1,1
1,3,12,2,3,2141,4,3,1,4,35,2,1,3,1,1,1
1,3,48,1,9,3609,3,2,1,1,27,2,1,3,1,1,1
1,3,18,4,3,1169,3,3,3,2,29,2,2,3,1,2,1
1,2,36,2,6,3711,3,4,2,3,27,2,1,3,1,1,1
0,1,12,2,0,759,4,3,2,1,26,2,1,3,1,1,1
1,2,60,3,3,9157,3,3,2,4,27,3,1,4,1,1,1
1,2,21,4,9,3652,4,3,3,2,27,2,2,3,1,1,1
1,1,12,2,2,652,5,2,4,2,24,1,1,3,1,1,1
1,3,6,2,2,1543,3,1,2,1,33,2,1,3,1,1,1
1,1,12,4,0,2121,3,3,2,2,30,2,2,3,1,1,1
1,3,36,2,3,4473,5,3,2,3,31,2,1,3,1,1,1
1,3,12,2,0,1330,2,3,1,1,26,2,1,3,1,1,1
0,1,24,2,2,2996,3,4,4,3,20,2,1,3,1,1,1
1,3,12,2,2,2251,3,2,2,3,46,2,1,2,1,1,1
1,3,12,4,6,2012,4,2,2,3,61,2,1,3,1,1,1
1,3,24,2,2,3062,5,3,3,4,32,1,1,3,1,2,1
1,3,36,2,1,8133,3,2,2,2,30,2,1,3,1,1,1
1,3,6,4,3,700,5,3,4,4,36,3,2,3,1,1,1
1,3,22,2,0,1283,4,2,4,2,25,1,1,3,1,1,1
1,1,30,4,1,10623,5,3,4,4,38,3,3,4,2,2,1
0,3,24,4,0,1344,4,3,2,1,37,2,2,2,2,1,1
0,2,48,0,9,3844,4,3,4,4,34,3,1,2,2,1,1
1,2,45,4,1,4576,1,3,4,3,27,2,1,3,1,1,1
1,1,20,2,2,2212,4,3,4,3,39,2,1,3,1,2,1
1,2,12,2,3,625,2,4,1,1,26,2,1,2,1,1,1
1,3,60,2,0,6527,3,3,4,4,34,3,1,3,2,2,1
0,1,36,2,6,1977,5,3,4,4,40,2,1,4,1,2,1
0,1,48,2,3,6999,4,4,1,1,34,2,2,3,1,2,1
0,2,9,4,6,1136,5,3,3,4,32,3,2,3,2,1,1
1,2,24,2,3,5084,5,2,4,3,42,2,1,3,1,2,1
0,1,24,1,2,3552,4,3,4,3,27,2,1,3,1,1,1
0,2,6,2,0,14555,1,3,2,2,23,2,1,1,1,2,1
1,3,6,4,0,250,3,2,2,1,41,2,2,2,1,1,1
1,3,24,4,3,1851,4,4,2,3,33,2,2,3,1,2,1
0,1,18,2,2,2462,3,3,2,3,22,2,1,3,1,1,1
1,3,15,4,0,5045,5,2,4,3,59,2,1,3,1,2,1
1,3,24,3,9,3863,3,3,2,4,32,3,1,3,1,1,1
0,3,48,2,9,3914,3,1,2,1,38,2,1,3,1,1,1
0,3,15,2,6,4623,3,3,2,2,40,2,1,4,1,2,1
0,1,36,4,1,9629,4,3,4,3,24,2,2,3,1,2,1
1,3,18,2,2,2515,3,3,4,1,43,2,1,3,1,2,1
1,3,12,2,3,1262,3,3,2,3,25,2,1,3,1,1,1
0,1,42,2,3,7174,4,2,3,3,30,2,1,4,1,2,1
0,2,27,2,9,3915,3,3,2,3,36,2,1,3,2,2,1
1,1,6,2,1,1352,1,2,2,2,23,1,1,1,1,2,1
1,1,24,2,1,2910,4,3,1,4,34,3,1,4,1,2,1
1,2,48,0,0,8358,2,2,1,3,30,2,2,3,1,1,1
1,3,12,4,0,1495,5,3,1,1,38,2,2,2,2,1,1
0,1,30,2,5,11998,2,1,1,4,34,2,1,2,1,2,1
1,2,8,2,3,760,4,2,2,1,44,2,1,2,1,1,1
1,3,24,4,9,4139,3,3,3,2,27,2,2,2,1,2,1
0,2,36,4,0,2820,2,1,4,3,27,2,2,3,1,1,1
1,3,18,2,3,4594,2,3,2,3,32,2,1,3,1,2,1
1,3,24,2,3,3430,5,3,2,3,31,2,1,3,2,2,1
1,3,24,2,1,9277,3,1,4,4,48,3,1,3,1,2,1
1,3,15,4,1,2360,3,3,2,3,36,2,1,3,1,2,1
1,2,18,2,1,2779,3,4,3,3,21,1,1,3,1,2,1
0,1,12,2,3,727,2,4,3,4,33,2,1,2,1,2,1
1,1,11,4,0,3905,3,3,2,1,36,1,2,3,2,1,1
1,3,24,4,3,3148,3,3,2,3,31,2,2,3,1,2,1
1,3,24,4,10,6314,1,3,2,4,27,2,2,4,1,2,1
1,3,24,2,2,2835,5,3,4,2,53,2,1,3,1,1,1
0,2,15,1,0,1264,3,4,2,2,25,1,1,3,1,1,1
0,1,12,2,2,7865,5,3,4,4,53,3,1,4,1,2,1
1,3,9,2,0,3577,3,3,2,1,26,1,1,3,2,1,2
1,3,15,2,0,3556,3,3,2,4,29,2,1,3,1,1,1
1,1,15,4,2,1478,5,3,4,3,44,2,2,3,2,2,1
1,3,48,4,3,3578,5,3,1,1,47,2,1,3,1,2,1
0,2,27,4,3,2520,3,3,2,2,23,2,2,2,1,1,1
0,1,24,2,3,1938,2,1,3,2,32,2,1,3,1,1,1
1,1,21,2,3,3357,2,2,2,3,29,2,1,3,1,1,1
1,3,15,3,2,960,4,2,2,2,30,2,2,3,1,1,1
1,1,21,2,3,2606,2,2,4,2,28,1,1,4,1,2,1
1,3,24,4,1,2346,4,3,3,3,35,2,2,3,1,2,1
0,1,36,2,3,2302,3,1,4,3,31,1,1,3,1,1,1
0,1,12,2,6,795,2,2,4,2,53,2,1,3,1,1,1
1,1,12,2,3,1498,3,2,1,3,23,2,1,3,1,1,1
0,1,6,1,6,1198,5,2,4,4,35,3,1,3,1,1,1
1,3,12,4,0,682,4,2,3,3,51,2,2,3,1,2,1
1,3,12,4,6,3565,2,3,1,2,37,2,2,2,2,1,1
0,1,12,2,0,2579,2,3,1,1,33,2,1,2,2,1,1
0,3,18,0,9,4165,3,3,2,3,36,2,2,3,2,1,1
1,3,12,0,2,2759,5,3,4,2,34,2,2,3,1,1,1
1,3,12,3,0,2247,3,2,2,3,36,2,2,3,1,2,1
1,3,18,4,3,1149,3,3,3,1,46,2,2,3,1,1,1
1,1,24,2,3,1603,5,2,4,3,55,2,1,3,1,1,1
0,1,40,4,6,5998,3,3,3,4,27,2,1,3,1,2,1
1,3,9,2,2,1388,3,2,2,1,26,1,1,3,1,1,1
1,3,42,4,2,4041,3,3,4,1,36,2,2,3,1,2,1
1,1,24,2,2,4020,3,3,2,3,27,2,1,3,1,1,1
1,1,6,2,3,2647,3,3,3,1,44,1,1,3,2,1,1
1,2,30,0,9,4221,3,2,1,3,28,2,2,3,1,1,1
1,3,24,2,8,937,2,4,3,3,27,2,2,2,1,1,1
1,1,15,2,0,1403,3,2,4,3,28,1,1,3,1,1,1
0,1,18,2,4,1217,3,4,3,1,47,2,1,2,1,2,1
1,3,18,4,3,6070,5,3,4,3,33,2,2,3,1,2,1
0,3,10,2,0,1309,3,3,4,2,27,2,1,2,1,1,1
0,2,24,0,9,4241,3,3,4,1,36,2,3,2,1,2,1
1,2,16,4,0,1175,1,3,3,3,68,3,3,1,1,2,1
1,1,24,2,3,2384,5,3,4,1,64,1,1,2,1,1,1
1,1,30,2,3,2522,5,3,3,2,39,2,1,3,2,1,1
1,1,24,2,2,7721,2,2,2,2,30,2,1,3,1,2,2
1,3,18,1,3,1445,4,3,4,3,49,2,1,2,1,1,1
1,3,12,2,3,776,3,4,2,1,28,2,1,3,1,1,1
0,1,36,2,1,8335,5,3,4,4,47,3,1,3,1,1,1
1,3,12,4,2,3331,5,3,4,2,42,2,1,3,1,1,1
0,1,24,3,3,1024,2,4,4,1,48,2,1,3,1,1,1
0,1,36,2,2,2712,5,3,2,2,41,2,1,3,2,1,1
0,2,48,2,2,9960,2,2,2,3,26,2,1,3,1,2,1
1,2,12,2,0,1007,3,4,1,1,22,2,1,3,1,1,1
1,1,6,4,3,1957,4,2,4,3,31,2,1,3,1,1,1
1,3,10,2,1,2901,2,2,4,1,31,1,1,3,1,1,1
1,3,24,4,6,1927,3,2,2,3,33,2,2,3,1,2,1
1,2,9,2,3,790,3,2,3,1,66,2,1,2,1,1,1
1,1,36,2,2,3620,3,3,2,2,37,2,1,3,2,1,1
1,3,24,4,2,1585,4,3,3,2,40,2,2,3,1,1,1
1,3,30,2,1,4811,4,2,4,2,24,1,1,2,1,1,1
1,3,6,4,0,1299,3,3,1,1,74,2,3,1,2,1,2
1,2,36,3,0,7432,3,2,2,2,54,1,1,3,1,1,1
1,3,24,4,2,5150,5,3,4,3,33,2,1,3,1,2,1
1,3,30,4,1,7596,5,3,4,3,63,2,2,3,1,1,1
1,3,12,4,3,522,5,3,4,2,42,2,2,3,2,2,1
1,1,12,2,2,1858,2,2,1,3,22,1,1,3,1,1,1
1,1,12,2,2,1620,3,2,3,2,30,2,1,3,1,1,1
1,3,30,3,9,4272,3,3,2,2,26,2,2,2,1,1,1
1,3,24,4,2,2028,4,3,2,2,30,2,2,2,1,1,1
0,2,36,3,0,2225,5,3,4,4,57,3,2,3,1,2,1
1,2,13,4,3,882,2,3,4,1,23,2,2,3,1,1,1
1,2,26,2,1,7966,2,3,3,3,30,2,2,3,1,1,1
0,3,10,2,2,2210,3,3,2,1,25,1,1,2,1,1,1
0,1,14,2,0,8978,5,1,4,2,45,2,1,4,1,2,2
0,3,24,2,3,5943,2,2,1,3,44,2,2,3,1,2,1
1,2,42,1,1,9283,1,3,2,4,55,3,1,4,1,2,1
1,1,9,4,3,1138,3,3,4,1,25,2,2,2,1,1,1
1,3,24,4,1,4042,4,3,4,2,43,2,2,3,1,2,1
1,2,9,2,3,1206,5,2,4,1,25,2,1,3,1,1,1
0,1,12,2,0,900,3,4,2,3,23,2,1,3,1,1,1
0,2,48,4,2,5096,3,2,3,3,30,2,1,4,1,2,1
0,2,30,0,9,4280,3,2,4,3,26,1,2,2,1,1,1
0,1,48,2,9,4308,2,2,4,2,24,1,1,3,1,1,1
0,1,18,2,2,2473,1,3,1,3,25,2,1,1,1,1,1
0,3,12,3,5,1555,5,3,4,4,55,3,2,3,2,1,1
1,1,6,4,3,1169,5,3,4,1,67,2,2,3,1,2,1
1,1,8,4,0,713,5,3,4,1,47,2,2,2,1,1,1
1,3,10,2,0,1418,3,3,2,1,35,1,1,2,1,1,2
1,2,18,2,9,4439,5,3,1,1,33,2,1,4,1,2,1
1,2,24,2,1,2760,5,3,4,4,36,3,1,3,1,2,1
0,2,36,3,9,4455,3,1,2,1,30,2,2,4,1,2,1
1,3,60,4,0,13756,5,3,4,4,63,3,1,4,1,2,1
1,2,12,2,3,1158,3,1,1,3,26,2,1,3,1,2,1
1,3,12,2,3,3016,3,4,1,3,24,2,1,3,1,1,1
1,1,12,1,8,339,5,4,1,3,45,2,1,2,1,1,1
0,1,36,4,2,6229,2,2,4,4,23,1,2,2,1,2,1
1,3,15,1,3,1569,5,3,4,3,34,2,1,2,2,1,1
1,3,24,2,2,1925,3,3,2,1,26,2,1,3,1,1,1
1,3,10,2,0,1287,5,3,2,2,45,2,1,2,1,1,2
0,1,24,4,0,1199,5,3,4,3,60,2,2,2,1,1,1
0,3,48,4,1,11590,3,2,4,3,24,1,2,2,1,1,1
1,3,21,4,1,3275,5,3,4,3,36,2,1,4,1,2,1
0,2,9,2,2,959,3,2,2,3,29,2,1,3,1,1,1
1,3,24,4,9,4526,3,3,2,1,74,2,1,4,1,2,1
1,3,12,4,6,2096,4,3,3,1,49,2,1,2,2,1,1
0,1,16,4,0,2625,5,3,4,2,43,1,1,3,1,2,2
0,2,36,2,0,12389,3,3,4,4,37,3,1,3,1,2,1
1,3,15,4,3,1316,3,4,2,2,47,2,2,2,1,1,1
0,2,48,0,10,18424,3,2,2,2,32,2,1,4,1,2,2
1,3,24,4,5,2058,3,1,2,1,33,2,2,3,1,2,1
1,3,24,4,2,3777,3,3,4,1,40,2,1,3,1,2,1
1,3,36,2,3,3835,5,2,4,1,45,2,1,2,1,2,1
1,1,12,2,3,1107,3,3,2,1,20,1,1,4,2,2,1
1,3,36,3,2,7678,4,2,4,3,40,2,2,3,1,2,1
0,3,24,2,9,4591,3,3,3,2,54,2,3,4,1,2,1
1,1,15,2,3,1053,2,4,2,1,27,2,1,3,1,1,2
1,2,15,4,3,2728,4,3,2,1,35,2,3,3,1,2,1
1,2,9,2,0,1549,2,3,2,1,35,2,1,1,1,1,1
1,3,15,4,2,1520,5,3,4,2,63,2,1,3,1,1,1
1,2,36,4,3,2337,5,3,4,1,36,2,1,3,1,1,1
1,3,18,3,3,2320,1,4,3,1,34,2,2,3,1,1,1
0,2,48,2,0,6560,4,3,2,2,24,2,1,3,1,1,1
1,2,24,3,9,4712,3,3,2,2,34,2,2,4,1,2,1
0,1,18,4,0,3966,5,2,4,1,33,1,3,3,1,2,1
1,1,18,2,2,2659,3,3,2,3,28,2,1,3,1,1,1
1,3,15,2,3,3568,5,2,2,3,54,1,1,4,1,2,1
