CustomerID,RegisterDate,Gender,BirthYear
c328222,2014-09-25,F,1960
c281448,2013-06-18,F,1974
c038336,2003-10-10,F,1968
c084237,2007-03-09,F,1982
c162600,2010-06-14,F,1978
c271549,2013-03-09,M,1980
c278454,2013-05-26,F,1954
c083862,2007-03-01,F,1973
c167876,2010-08-28,F,1973
c017522,2002-07-31,F,1965
c130452,2009-06-08,F,1975
c146132,2009-12-30,F,1971
c354310,2015-07-16,F,1964
c121989,2009-03-03,F,1975
c216478,2011-12-08,F,1983
c211169,2011-10-10,F,1979
c390828,2016-10-15,F,1984
c131572,2009-06-22,F,1971
c162537,2010-06-14,F,1966
c096939,2008-01-24,F,1977
c109670,2008-08-20,F,1957
c259903,2012-10-18,F,1962
c049550,2004-07-05,F,1955
c052094,2004-09-15,F,1972
c088295,2007-05-11,F,1965
c171698,2010-10-12,F,1970
c119884,2009-02-02,F,1977
c272968,2013-03-23,M,1980
c386399,2016-08-18,F,1972
c093024,2007-10-05,F,1967
c367116,2015-12-29,F,1970
c398495,2017-02-02,F,1981
c334038,2014-11-21,F,1976
c345766,2015-04-12,M,1980
c265473,2012-12-24,F,1960
c347955,2015-05-05,F,1957
c123874,2009-03-27,F,1975
c351869,2015-06-17,F,1963
c348599,2015-05-12,F,1973
c356995,2015-08-22,F,1967
c127482,2009-05-03,F,1977
c264371,2012-12-07,F,1968
c372227,2016-03-05,F,1981
c098938,2008-03-13,F,1979
c139786,2009-10-07,F,1966
c146815,2010-01-11,F,1967
c153365,2010-04-05,F,1968
c267054,2013-01-14,F,1980
c300005,2013-10-31,F,1981
c188728,2011-03-26,F,1969
c155301,2010-04-22,F,1940
c298787,2013-10-18,F,1981
c337831,2015-01-09,F,1984
c017669,2002-07-31,F,1973
c142902,2009-11-12,F,1968
c367221,2015-12-30,F,1984
c096068,2007-12-28,F,1966
c164403,2010-07-06,F,1974
c237565,2012-07-31,F,1973
c067443,2005-12-31,F,1971
c268217,2013-01-27,F,1975
c347315,2015-04-27,F,1971
c212034,2011-10-19,F,1975
c032944,2003-04-28,M,1969
c218035,2012-01-05,F,1980
c093283,2007-10-12,F,1987
c339572,2015-01-31,F,1985
c343447,2015-03-19,F,1975
c365610,2015-12-08,F,1978
c107468,2008-07-04,F,1967
c269003,2013-02-04,F,1979
c202961,2011-06-30,F,1958
c343320,2015-03-18,F,1955
c359629,2015-09-19,F,1966
c341313,2015-02-24,F,1979
c017706,2002-07-31,M,1974
c082656,2007-01-26,F,1972
c136498,2009-08-29,F,1979
c356815,2015-08-19,F,1965
c200338,2011-06-02,F,1980
c385713,2016-08-08,F,1968
c123085,2009-03-17,F,1974
c399643,2017-02-22,F,1967
c214899,2011-11-19,F,1975
c366301,2015-12-17,F,1972
c379760,2016-05-27,F,1973
c335945,2014-12-16,F,1971
c222420,2012-03-03,F,1987
c237792,2012-08-03,F,1969
c372869,2016-03-12,F,1975
c040340,2003-12-05,F,1946
c070249,2006-04-07,F,1965
c363589,2015-11-12,F,1983
c335469,2014-12-09,F,1970
c024582,2002-08-14,F,1968
c186158,2011-02-28,F,1960
c219362,2012-01-21,F,1971
c111939,2008-10-03,F,1967
c049626,2004-07-07,F,1973
c379879,2016-05-29,F,1989
c057038,2005-02-23,F,1968
c329284,2014-10-06,F,1979
c349582,2015-05-23,F,1981
c357744,2015-08-28,F,1985
c276338,2013-04-30,F,1948
c090821,2007-07-24,F,1973
c135010,2009-08-06,F,1978
c130574,2009-06-09,F,1968
c172178,2010-10-16,F,1978
c017487,2002-07-31,F,1968
c084251,2007-03-09,M,1967
c381060,2016-06-12,F,1992
c328664,2014-09-30,F,1979
c391152,2016-10-19,F,1965
c323093,2014-07-23,M,1978
c262765,2012-11-17,F,1970
c316358,2014-05-14,F,1950
c356629,2015-08-17,F,1984
c107882,2008-07-14,F,1964
c300072,2013-11-01,F,1983
c017754,2002-07-31,F,1960
c040011,2003-11-25,M,1966
c104743,2008-05-22,F,1970
c307519,2014-02-08,F,1953
c038099,2003-10-02,F,1971
c131403,2009-06-19,F,1966
c054711,2004-11-30,F,1954
c180480,2011-01-13,F,1985
c077339,2006-09-02,F,1974
c341307,2015-02-24,F,1967
c353614,2015-07-07,F,1984
c142612,2009-11-09,M,1961
c358171,2015-09-02,F,1977
c088439,2007-05-16,F,1971
c134589,2009-07-30,F,1970
c229091,2012-05-11,F,1975
c040832,2003-12-19,F,1970
c327669,2014-09-19,F,1957
c277968,2013-05-20,F,1970
c354346,2015-07-16,F,1973
c063941,2005-09-14,F,1968
c208240,2011-09-06,F,1971
c341135,2015-02-22,F,1962
c357840,2015-08-31,F,1981
c229117,2012-05-11,F,1971
c164480,2010-07-07,F,1980
c312251,2014-04-01,F,1981
c340893,2015-02-15,F,1976
c147743,2010-01-21,F,1975
c258537,2012-10-05,F,1975
c354478,2015-07-18,F,1977
c310553,2014-03-13,F,1971
c367481,2016-01-04,F,1968
c115583,2008-11-21,F,1962
c185805,2011-02-24,F,1975
c097736,2008-02-18,F,1957
c114429,2008-11-04,F,1975
c116212,2008-12-04,F,1973
c162966,2010-06-18,F,1968
c199305,2011-05-24,F,1982
c206581,2011-08-17,F,1979
c230815,2012-05-30,F,1971
c323069,2014-07-23,F,1957
c324337,2014-08-09,F,1979
c343469,2015-03-19,F,1983
c344134,2015-03-26,F,1963
c353494,2015-07-06,F,1961
c048340,2004-06-12,F,1955
c069762,2006-03-27,F,1972
c356904,2015-08-20,M,1973
c363730,2015-11-13,M,1979
c365459,2015-12-06,F,1979
c399287,2017-02-16,F,1971
c399725,2017-02-23,M,1982
c146882,2010-01-11,F,1957
c166593,2010-08-10,F,1970
c178218,2010-12-20,F,1972
c208495,2011-09-09,F,1974
c209784,2011-09-27,F,1984
c232120,2012-06-12,F,1971
c262541,2012-11-14,F,1949
c264899,2012-12-15,M,1979
c265761,2012-12-28,F,1981
c276284,2013-04-30,F,1962
c293590,2013-08-20,F,1979
c301261,2013-11-14,F,1980
c307738,2014-02-11,M,1977
c308455,2014-02-18,F,1972
c314866,2014-04-28,F,1979
c318126,2014-05-29,F,1968
c331655,2014-10-29,M,1982
c342735,2015-03-11,F,1979
c067983,2006-01-23,F,1974
c353857,2015-07-10,F,1982
c017544,2002-07-31,M,1965
c235867,2012-07-17,F,1965
c313441,2014-04-14,F,1975
c181300,2011-01-21,F,1976
c273437,2013-03-28,F,1988
c360428,2015-10-03,F,1970
c206248,2011-08-12,M,1969
c193412,2011-05-09,F,1970
c319034,2014-06-10,F,1974
c047616,2004-05-30,F,1967
c097385,2008-02-05,F,1952
c381503,2016-06-16,M,1977
c371075,2016-02-19,F,1968
c135760,2009-08-19,F,1989
c334275,2014-11-24,F,1980
c342914,2015-03-13,F,1979
c017611,2002-07-31,F,1964
c047213,2004-05-21,F,1970
c054396,2004-11-19,F,1969
c058487,2005-04-05,F,1971
c082560,2007-01-23,F,1972
c083132,2007-02-07,F,1972
c357993,2015-09-01,F,1979
c211313,2011-10-11,F,1972
c071910,2006-05-29,F,1961
c106428,2008-06-18,F,1972
c112307,2008-10-07,F,1961
c138175,2009-09-15,F,1967
c199913,2011-05-29,M,1969
c391647,2016-10-25,F,1970
c306199,2014-01-17,F,1977
c040494,2003-12-11,F,1940
c352817,2015-06-29,F,1962
c362875,2015-11-03,F,1980
c109509,2008-08-15,F,1945
c119748,2009-01-31,F,1971
c160622,2010-05-18,F,1942
c165841,2010-07-28,F,1968
c218626,2012-01-12,F,1977
c273755,2013-04-01,F,1969
c299230,2013-10-23,F,1975
c057783,2005-03-16,F,1971
c125014,2009-04-08,M,1964
c274375,2013-04-08,F,1979
c295037,2013-09-02,F,1970
c349634,2015-05-25,F,1967
c165944,2010-07-29,M,1971
c126211,2009-04-20,F,1976
c108249,2008-07-20,M,1978
c109152,2008-08-07,F,1975
c219130,2012-01-18,F,1973
c294420,2013-08-27,F,1980
c104056,2008-05-14,F,1971
c174605,2010-11-09,F,1965
c238448,2012-08-13,F,1973
c345899,2015-04-13,F,1981
c017538,2002-07-31,F,1964
c389049,2016-09-24,F,1983
c107578,2008-07-07,F,1965
c118296,2009-01-08,F,1962
c260661,2012-10-26,F,1976
c316556,2014-05-15,F,1980
c139758,2009-10-07,F,1973
c337495,2015-01-06,F,1975
c095789,2007-12-17,F,1969
c088320,2007-05-12,F,1976
c387615,2016-09-01,F,1988
c347234,2015-04-27,F,1983
c230163,2012-05-23,F,1954
c037261,2003-09-02,F,1966
c398264,2017-01-30,F,1984
c108128,2008-07-17,F,1945
c223840,2012-03-16,F,1970
c237049,2012-07-25,F,1980
c296864,2013-09-26,F,1968
c342408,2015-03-07,F,1980
c226584,2012-04-14,F,1970
c139739,2009-10-07,F,1974
c344774,2015-04-02,F,1978
c336759,2014-12-26,F,1976
c227060,2012-04-19,F,1974
c320161,2014-06-20,F,1981
c134441,2009-07-28,F,1959
c187765,2011-03-17,F,1974
c221669,2012-02-23,F,1982
c034999,2003-07-02,F,1970
c222080,2012-02-28,M,1958
c239498,2012-08-23,F,1988
c186255,2011-03-02,F,1970
c187241,2011-03-11,F,1973
c298739,2013-10-17,F,1942
c128460,2009-05-14,F,1979
c144712,2009-12-05,F,1963
c032201,2003-04-04,F,1969
c064094,2005-09-22,F,1965
c026507,2002-10-12,F,1968
c392831,2016-11-07,F,1969
c103413,2008-05-02,F,1981
c312197,2014-04-01,F,1985
c368157,2016-01-11,F,1973
c313204,2014-04-11,M,1979
c262152,2012-11-09,F,1983
c039396,2003-11-05,F,1969
c350148,2015-05-30,F,1983
c093697,2007-10-23,F,1969
c048606,2004-06-17,F,1956
c062124,2005-07-06,F,1944
c090006,2007-06-28,F,1972
c343799,2015-03-23,F,1974
c314144,2014-04-21,F,1957
c175531,2010-11-18,M,1955
c295995,2013-09-12,F,1967
c097661,2008-02-15,F,1964
c057792,2005-03-16,F,1973
c193265,2011-05-06,F,1977
c360613,2015-10-05,M,1981
c098437,2008-03-03,F,1971
c257932,2012-09-27,F,1976
c155049,2010-04-20,F,1958
c177762,2010-12-14,F,1974
c265446,2012-12-24,F,1969
c300199,2013-11-02,F,1965
c377134,2016-04-26,F,1967
c034847,2003-06-28,F,1968
c097949,2008-02-21,F,1961
c366888,2015-12-26,F,1977
c090485,2007-07-11,F,1973
c322766,2014-07-19,F,1980
c325237,2014-08-19,F,1982
c300378,2013-11-04,F,1960
c344728,2015-04-01,F,1960
c351034,2015-06-09,F,1978
c017552,2002-07-31,F,1960
c100815,2008-04-14,M,1969
c167363,2010-08-21,F,1971
c167520,2010-08-23,F,1976
c204329,2011-07-16,F,1983
c303110,2013-12-06,F,1979
c254747,2012-08-29,F,1979
c017610,2002-07-31,F,1971
c355658,2015-08-04,F,1962
c130317,2009-06-06,F,1952
c193555,2011-05-10,F,1968
c330325,2014-10-16,F,1976
c085697,2007-04-07,F,1973
c098958,2008-03-14,F,1964
c115391,2008-11-19,F,1964
c121217,2009-02-21,F,1974
c130391,2009-06-08,F,1968
c153046,2010-04-01,F,1961
c384383,2016-07-19,F,1977
c375520,2016-04-08,F,1968
c055599,2004-12-31,F,1973
c078193,2006-09-21,F,1970
c085558,2007-04-05,F,1974
c359520,2015-09-17,F,1980
c234902,2012-07-09,F,1971
c274836,2013-04-12,F,1967
c367579,2016-01-05,F,1972
c115512,2008-11-20,F,1980
c178768,2010-12-27,F,1971
c339083,2015-01-26,F,1979
c037845,2003-09-24,F,1956
c070852,2006-04-24,F,1973
c362929,2015-11-04,F,1984
c103818,2008-05-09,F,1969
c126771,2009-04-25,F,1960
c148979,2010-02-08,F,1955
c300385,2013-11-04,F,1972
c301618,2013-11-19,F,1978
c309627,2014-03-04,F,1975
c325775,2014-08-25,F,1970
c333692,2014-11-18,M,1981
c082838,2007-01-31,F,1970
c110374,2008-09-02,F,1954
c117841,2009-01-02,F,1970
c365376,2015-12-04,F,1962
c295626,2013-09-09,M,1979
c389540,2016-09-29,F,1972
c030204,2003-02-03,F,1961
c017646,2002-07-31,F,1961
c295036,2013-09-02,F,1967
c352238,2015-06-22,F,1981
c319782,2014-06-17,F,1949
c106015,2008-06-11,F,1968
c225387,2012-03-31,F,1981
c345572,2015-04-09,F,1978
c083107,2007-02-06,F,1967
c112244,2008-10-07,F,1971
c121128,2009-02-19,F,1945
c401555,2017-03-20,F,1981
c111322,2008-09-23,F,1976
c317471,2014-05-23,F,1985
c330770,2014-10-21,M,1968
c331082,2014-10-24,F,1980
c017517,2002-07-31,M,1967
c017741,2002-07-31,F,1969
c044231,2004-03-08,F,1970
c055777,2005-01-08,F,1975
c356929,2015-08-21,F,1980
c360197,2015-09-30,F,1971
c386860,2016-08-24,F,1960
c400735,2017-03-09,F,1970
c166699,2010-08-11,F,1958
c220225,2012-02-05,F,1950
c275248,2013-04-17,F,1976
c057163,2005-02-28,F,1969
c089400,2007-06-11,F,1968
c111580,2008-09-29,F,1968
c076581,2006-08-08,F,1969
c219608,2012-01-27,F,1968
c294987,2013-09-02,F,1981
c310138,2014-03-10,F,1962
c283926,2013-07-09,F,1961
c179965,2011-01-08,F,1969
c215200,2011-11-23,F,1971
c038174,2003-10-06,F,1962
c175594,2010-11-19,F,1982
c317345,2014-05-22,F,1988
c136928,2009-09-02,F,1976
c110727,2008-09-08,F,1970
c083958,2007-03-03,F,1961
c067950,2006-01-22,M,1986
c269408,2013-02-12,F,1982
c096617,2008-01-16,M,1972
c235016,2012-07-10,F,1975
c212755,2011-10-25,F,1982
c192163,2011-04-26,F,1979
c324615,2014-08-12,F,1983
c334322,2014-11-24,F,1981
c340690,2015-02-12,F,1956
c017660,2002-07-31,F,1966
c260290,2012-10-22,F,1979
c337558,2015-01-07,M,1977
c324236,2014-08-07,F,1978
c282263,2013-06-26,F,1973
c237040,2012-07-24,F,1963
c214809,2011-11-18,F,1971
c385109,2016-07-29,F,1978
c112749,2008-10-13,F,1969
c367948,2016-01-08,F,1989
c116535,2008-12-09,F,1974
c307671,2014-02-10,F,1974
c302768,2013-12-03,F,1969
c304195,2013-12-22,F,1978
c201616,2011-06-15,F,1968
c132464,2009-07-01,F,1953
c226242,2012-04-10,F,1968
c345760,2015-04-12,F,1972
c205660,2011-08-04,F,1975
c293494,2013-08-19,F,1986
c338489,2015-01-17,M,1965
c058327,2005-03-31,F,1971
c391637,2016-10-24,F,1973
c307908,2014-02-12,F,1988
c326888,2014-09-11,F,1957
c356404,2015-08-14,F,1977
c066141,2005-11-24,F,1976
c056399,2005-01-28,F,1978
c166550,2010-08-09,M,1967
c368106,2016-01-10,F,1980
c189122,2011-03-30,F,1975
c297997,2013-10-09,F,1976
c306915,2014-01-29,F,1975
c082866,2007-01-31,F,1974
c307480,2014-02-07,F,1979
c209787,2011-09-27,F,1974
c362922,2015-11-04,F,1978
c330886,2014-10-22,F,1982
c036238,2003-08-13,F,1976
c335309,2014-12-06,F,1974
c077390,2006-09-04,F,1965
c229107,2012-05-11,F,1969
c017526,2002-07-31,F,1960
c352800,2015-06-28,F,1980
c385783,2016-08-09,F,1983
c106552,2008-06-19,F,1974
c059737,2005-05-06,F,1970
c370258,2016-02-06,F,1976
c225247,2012-03-29,F,1967
c062902,2005-08-09,F,1971
c116550,2008-12-09,F,1974
c291927,2013-07-31,F,1978
c168775,2010-09-08,F,1976
c396728,2017-01-04,F,1977
c039938,2003-11-22,F,1972
c063176,2005-08-20,F,1971
c116443,2008-12-08,F,1973
c263514,2012-11-26,F,1979
c302834,2013-12-03,F,1974
c219745,2012-01-30,F,1988
c255098,2012-09-01,F,1969
c312325,2014-04-02,F,1975
c332761,2014-11-07,F,1975
c203789,2011-07-09,F,1976
c350213,2015-06-01,F,1976
c017554,2002-07-31,M,1964
c045490,2004-04-08,F,1967
c061446,2005-06-15,F,1976
c062610,2005-07-25,F,1975
c067375,2005-12-29,F,1971
c173680,2010-10-30,M,1961
c270012,2013-02-19,F,1974
c293538,2013-08-19,F,1955
c314620,2014-04-25,F,1971
c315613,2014-05-08,F,1982
c292271,2013-08-04,F,1979
c260317,2012-10-23,F,1984
c350918,2015-06-08,F,1968
c112286,2008-10-07,M,1965
c238327,2012-08-10,F,1976
c395638,2016-12-18,F,1985
c104231,2008-05-15,F,1979
c181747,2011-01-26,F,1954
c094744,2007-11-16,F,1975
c189316,2011-04-01,F,1971
c348181,2015-05-07,F,1972
c040668,2003-12-15,M,1959
c093421,2007-10-16,F,1965
c304031,2013-12-19,F,1975
c127646,2009-05-06,F,1978
c385436,2016-08-03,F,1981
c317556,2014-05-24,F,1981
c223940,2012-03-16,F,1970
c118079,2009-01-06,F,1974
c150837,2010-03-08,F,1965
c344634,2015-04-01,F,1968
c363115,2015-11-06,F,1964
c121270,2009-02-23,M,1972
c228036,2012-05-01,F,1977
c234800,2012-07-07,F,1960
c238786,2012-08-16,F,1950
c342721,2015-03-11,F,1981
c165917,2010-07-29,F,1952
c283398,2013-07-04,F,1976
c041765,2004-01-14,F,1966
c057271,2005-03-03,F,1974
c080967,2006-12-04,F,1966
c364899,2015-11-28,F,1969
c372461,2016-03-08,F,1986
c394161,2016-11-25,F,1959
c109333,2008-08-12,F,1968
c395075,2016-12-08,F,1984
c305675,2014-01-11,F,1975
c346490,2015-04-20,F,1979
c055154,2004-12-14,F,1972
c168758,2010-09-07,F,1961
c231689,2012-06-07,F,1981
c323180,2014-07-24,F,1976
c017546,2002-07-31,F,1966
c067927,2006-01-20,F,1960
c071649,2006-05-19,F,1970
c362367,2015-10-28,F,1979
c378210,2016-05-10,F,1986
c103522,2008-05-05,F,1974
c161265,2010-05-27,F,1963
c208697,2011-09-13,F,1962
c221557,2012-02-22,F,1965
c232214,2012-06-13,F,1979
c268228,2013-01-27,F,1978
c310164,2014-03-10,F,1953
c319464,2014-06-13,F,1983
c366892,2015-12-26,F,1952
c221668,2012-02-23,F,1980
c201165,2011-06-10,F,1980
c113932,2008-10-28,F,1972
c222461,2012-03-04,F,1983
c026318,2002-10-05,F,1966
c145247,2009-12-14,F,1974
c152574,2010-03-29,F,1971
c179633,2011-01-05,F,1978
c188938,2011-03-29,F,1967
c367899,2016-01-07,F,1961
c318713,2014-06-05,F,1983
c173180,2010-10-25,M,1986
c322524,2014-07-16,F,1972
c177941,2010-12-17,F,1981
c349924,2015-05-28,F,1969
c109889,2008-08-23,F,1974
c322759,2014-07-19,F,1981
c229358,2012-05-15,F,1953
c336062,2014-12-17,M,1981
c359395,2015-09-16,F,1979
c339128,2015-01-26,F,1980
c095452,2007-12-05,F,1972
c373351,2016-03-17,F,1981
c215674,2011-11-29,F,1974
c343734,2015-03-23,F,1972
c385981,2016-08-11,F,1975
c038272,2003-10-08,F,1952
c394790,2016-12-05,F,1975
c323642,2014-07-30,F,1976
c360039,2015-09-25,F,1977
c150417,2010-03-03,F,1974
c318849,2014-06-07,F,1980
c051732,2004-09-03,F,1966
c350113,2015-05-30,M,1982
c105430,2008-06-02,F,1954
c029643,2003-01-09,F,1969
c261843,2012-11-07,F,1982
c368054,2016-01-09,F,1983
c017735,2002-07-31,F,1960
c396749,2017-01-04,F,1983
c069426,2006-03-17,F,1954
c352999,2015-06-30,F,1962
c054256,2004-11-15,F,1973
c394131,2016-11-24,F,1959
c401584,2017-03-20,F,1979
c255589,2012-09-03,F,1965
c154590,2010-04-15,F,1972
c224309,2012-03-21,F,1961
c305065,2014-01-03,F,1967
c367340,2015-12-31,F,1971
c353056,2015-07-01,F,1979
c292763,2013-08-09,F,1943
c222596,2012-03-05,F,1970
c054232,2004-11-15,F,1977
c305371,2014-01-07,F,1979
c339507,2015-01-30,F,1973
c352730,2015-06-26,F,1971
c064759,2005-10-13,F,1972
c067870,2006-01-18,F,1966
c397552,2017-01-16,F,1980
c038315,2003-10-09,F,1962
c083411,2007-02-14,F,1971
c099519,2008-03-24,F,1969
c343446,2015-03-19,F,1989
c347520,2015-04-29,F,1968
c045953,2004-04-21,F,1973
c088423,2007-05-15,F,1970
c362472,2015-10-29,M,1985
c365956,2015-12-12,F,1961
c380218,2016-06-01,F,1965
c105259,2008-05-30,F,1967
c145535,2009-12-18,F,1970
c152370,2010-03-26,F,1969
c189576,2011-04-04,F,1962
c224249,2012-03-20,F,1980
c259917,2012-10-18,F,1970
c271386,2013-03-07,F,1948
c295047,2013-09-02,F,1976
c298204,2013-10-11,F,1993
c317550,2014-05-24,F,1965
c368342,2016-01-12,F,1982
c360455,2015-10-03,F,1969
c274414,2013-04-08,F,1954
c296737,2013-09-25,F,1970
c123010,2009-03-17,F,1968
c402010,2017-03-25,F,1969
c226725,2012-04-16,F,1973
c237072,2012-07-25,F,1983
c112156,2008-10-06,F,1950
c341885,2015-03-02,F,1987
c167194,2010-08-19,F,1961
c354515,2015-07-19,F,1983
c069521,2006-03-20,F,1962
c280899,2013-06-13,F,1985
c061954,2005-06-30,F,1970
c168924,2010-09-09,F,1962
c174027,2010-11-03,F,1969
c277294,2013-05-13,F,1983
c088526,2007-05-18,F,1971
c325075,2014-08-18,F,1969
c044830,2004-03-22,F,1967
c122804,2009-03-13,F,1972
c051627,2004-08-31,F,1971
c155150,2010-04-21,F,1974
c268624,2013-01-30,F,1959
c281737,2013-06-21,F,1982
c357383,2015-08-26,F,1978
c260848,2012-10-29,M,1974
c206383,2011-08-15,F,1972
c210861,2011-10-06,F,1968
c190115,2011-04-08,F,1975
c372059,2016-03-03,F,1986
c146888,2010-01-11,F,1981
c192172,2011-04-26,F,1974
c344030,2015-03-25,F,1980
c080721,2006-11-27,F,1971
c037554,2003-09-16,M,1970
c084900,2007-03-24,F,1974
c303751,2013-12-16,F,1950
c258787,2012-10-09,F,1980
c352336,2015-06-23,F,1978
c161685,2010-06-02,F,1970
c155294,2010-04-22,F,1968
c225522,2012-04-02,M,1949
c084202,2007-03-08,F,1941
c366106,2015-12-14,F,1981
c104840,2008-05-24,M,1961
c142261,2009-11-05,F,1970
c294145,2013-08-25,F,1975
c025177,2002-08-27,F,1981
c076462,2006-08-02,M,1958
c297466,2013-10-02,F,1978
c092647,2007-09-22,F,1959
c305406,2014-01-07,F,1970
c063225,2005-08-23,F,1966
c266979,2013-01-13,F,1955
c319857,2014-06-18,F,1980
c368084,2016-01-10,M,1983
c356987,2015-08-21,F,1993
c219424,2012-01-25,F,1968
c310515,2014-03-12,F,1976
c237261,2012-07-27,F,1961
c363963,2015-11-17,M,1986
c365676,2015-12-09,M,1976
c164815,2010-07-12,F,1947
c355980,2015-08-08,F,1975
c227582,2012-04-26,F,1968
c313997,2014-04-19,F,1983
c081327,2006-12-14,F,1965
c121442,2009-02-24,F,1975
c275453,2013-04-20,F,1970
c231393,2012-06-04,F,1979
c397789,2017-01-19,F,1966
c108978,2008-08-04,F,1970
c134102,2009-07-22,F,1960
c037863,2003-09-25,F,1973
c376203,2016-04-17,F,1978
c282489,2013-06-27,F,1978
c049713,2004-07-09,F,1964
c389635,2016-09-30,F,1991
c349508,2015-05-22,F,1979
c354639,2015-07-20,F,1968
c070813,2006-04-21,F,1953
c217406,2011-12-25,F,1973
c351567,2015-06-15,F,1972
c123891,2009-03-27,F,1971
c345534,2015-04-09,F,1980
c135606,2009-08-17,F,1974
c307527,2014-02-08,F,1979
c380445,2016-06-03,F,1969
c344309,2015-03-28,F,1967
c055296,2004-12-20,F,1969
c373818,2016-03-22,F,1982
c160648,2010-05-18,F,1969
c161057,2010-05-25,F,1949
c208175,2011-09-06,F,1975
c282146,2013-06-25,F,1968
c040572,2003-12-12,F,1966
c051771,2004-09-04,F,1943
c306678,2014-01-25,F,1972
c274185,2013-04-05,F,1962
c378333,2016-05-12,F,1976
c383761,2016-07-12,F,1979
c048601,2004-06-17,F,1966
c169810,2010-09-20,F,1975
c217913,2012-01-03,F,1957
c038352,2003-10-10,F,1957
c110521,2008-09-04,F,1972
c321748,2014-07-09,F,1976
